Names,state,statute_id,statute_name,estimated_amount,penalty type,year,penalty_amt_min,peanlty_amt_max,penalty_amt_fixed,other_penalty,notes
Nuhamin,idaho,id_96,idaho code § 18-5503,$0 - $500,punishment for violation of preceding section (denatured alcohol-regulation of sale and transfer),1972,n/a,n/a,$500 ,,could be punished by imprisonment in the county jail for a period not exceeding 6 months
Nuhamin,idaho,id_98,idaho code § 18-5602,$1000 - $50000,procurement-definition and penalty,1972,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
Nuhamin,idaho,id_99,idaho code § 18-5603,$1000 - $50000,receiving pay for procurement,1972,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
Nuhamin,idaho,id_100,idaho code § 18-5604,$1000 - $50000,paying for procurement,1972,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
Nuhamin,idaho,id_101,idaho code § 18-5605,$1000 - $50000,detention for prostitution,1972,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
Nuhamin,idaho,id_104,idaho code § 18-5608,$0 - $50000,inducing person under eighteen years of age into prostitution-penalties,1972,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
Guiselle,idaho,id_107,idaho code § 18-5807,$0 - $100,"leaving carcasses near highways, dwellings and streams, and pollution of water used for domestic purposes",1972,n/a,n/a,$100 ,n/a,"Within a mile of any inhabited dwelling, or on, along or within a quarter of a mile of any public highway or stream of water, for a longer period than twenty-four hours, without burying the same and by such exposure of burial within 200 feet of any stream shall be guilty of a misdemeanor and upon conviction shall be fined a fee not to exceed."
Guiselle,idaho,id_111,idaho code § 18-6006,$0 - $50000,injuring railroad property,1972,n/a,n/a,n/a,n/a,
Guiselle,idaho,id_116,idaho code § 18-6306,$200 - $1000,tax collector-neglect of duty,1972,$200 ,"$1,000 ",n/a,n/a,"He is guilty of a misdemanor in office, and shall be punished by imprisonment in the county jail not more than one year, or by a fine not less than  or by such fine and imprisonment and shall be forthwith removed from office,"
Guiselle,idaho,id_117,idaho code § 18-6307,$200 - $1000,auditor-neglect of duty,1972,$200 ,"$1,000 ",n/a,n/a,"he is guilty of a felony and shall be punished by imprisonment in the state prision for not more than 1 year, or by a fine of not less than nor more than, or by both and shall be forthwith removed from office."
Guiselle,idaho,id_118,idaho code § 18-6308,$200 - $1000,violation of revenue laws,1972,$200 ,"$1,000 ",n/a,n/a,guilty of a felony and must be punished by imprisonment in the state prision for not more than 1 year.
,,,,,,1972,n/a,n/a,$300 ,,No information besides using the change in 2006 to know that the fine was $300.
Sreelu,idaho,id_130,idaho code § 18-6805,$0 - $500,"punishment for removal, destruction or burning of electric lines or plants",1972,n/a,n/a,$500 ,,"could be punished by a fine not exceeding $500, or by imprisonment not to exceed 10 years or both "
Sreelu,idaho,id_133,idaho code § 18-7001,$0 - $1000,malicious injury to property,1972,n/a,n/a,"$1,000 ",,"if damages caused exceed $1000, shall be punishable by imprisonment in the state prison for not less than one (1) year nor more than five (5) years"
Sreelu,idaho,id_134,idaho code § 18-7002,$25 - $1000,criminal trespass  definition and punishment,1972,n/a,n/a,n/a,,could not find any data
Sreelu,idaho,id_135,idaho code § 18-7018,$0 - $10000,injuring jails,1972,n/a,n/a,"$10,000 ",,and by imprisonment in the state prison not exceeding five years.
Sreelu,idaho,id_136,idaho code § 18-7019,$0 - $1000,"injuring dams, canals, and other structures  penalty",1972,n/a,n/a,"$1,000 ",,"or by imprisonment in the state prison not exceeding two years, or by both."
Sreelu,idaho,id_137,idaho code § 18-7020,$0 - $1000,"destroying lumber, poles, rafts, and vessels",1972,n/a,n/a,"$1,000 ",," or by imprisonment in the county jail not exceeding six (6) months, or by both such fine and imprisonment."
Sreelu,idaho,id_138,idaho code § 18-7026,$0 - $5000,sabotage,1972,n/a,n/a,"$5,000 ",,punishable by imprisonment in the state prison not more than five (5) years or by imprisonment in the county jail not less than six (6) months
Sreelu,idaho,id_140,idaho code § 18-7031,$150 - $1000,placing debris on public or private property,1972,n/a,n/a,$150 ,,
Sreelu,idaho,id_146,idaho code § 18-7206,$0 - $1000,use of fraudulent scales for ore,1972,n/a,n/a,"$1,000 ",,"or by imprisonment in the county jail for a term of not more than one year nor less than one month, or by both such fine and imprisonment."
Clark,idaho,id_07,idaho code § 18-605(1),$0 - $5000,unlawful abortions - procurement of - penalty,1973,,"$5,000 ",,,GIving abortion without liscense 
Clark,idaho,id_09,idaho code § 18-606,$0 - $5000,unlawful abortions - accomplice or accessory - submitting to - penalty,1973,,"$5,000 ",,,Makes abortion or being an acessory to an aborition illegal
,,,idaho code § 18-1517A,,"hiring, employing, etc., minor to engage in certain acts, penalty",1973,n/a,n/a,n/a,"misdemeanor, previous conviction = felony",no penalty laid out
Nuhamin,idaho,id_89,idaho code § 18-4109,$0 - $1000,indecency and obscenity-punishment for violations,1973,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail for not more than six (6) months
,,,,,,1973,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail for a period not exceeding 6 months
,,,,,,1973,n/a,n/a,"$1,000 ",,"if damages caused exceed $1000, shall be punishable by imprisonment in the state prison for not less than one (1) year nor more than five (5) years"
Sreelu,idaho,id_148,idaho code § 18-7503,$0 - $5000,weapons aboard aircraft-penalty,1973,n/a,n/a,"$5,000 ",,
,,,,,,1974,$150 ,"$2,500 ",n/a,could be punished by imprisonment in the county jail not exceeding six (6) months,"first conviction: $150, 2nd conviction: $300, 3rd conviction: $1000"
Nuhamin,idaho,id_94,idaho code § 18-4629,$0 - $1000,"penalty for transportation of forest products without a permit, contract, bill of sales, or product load receipt",1975,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail for a period not exceeding 6 months
Guiselle,idaho,id_110,idaho code § 18-5906,$5 - $10,penalty for violation (no smoking in public meetings),1975,$5 ,$10 ,n/a,n/a,"a violation of section 18-5904, Idaho Code"
,,,,,,1976,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail for not more than six (6) months
Sreelu,idaho,id_149,idaho code § 18-7604,$0 - $10000,tape piracy act-penalties,1976,"$1,000 ","$10,000 ",n/a,,6 months to 4 years of imprisonment depending on the violation
Guiselle,idaho,id_115,idaho code § 18-6106,Specific Costs incurred by the victim as a result of injury or loss caused by the criminal act,rape-restitution to victim,1977,n/a,n/a,n/a,n/a,No fine amount is specified; but they may be ordered by the court to provide resitution to the victim for the specific cost incuured by the victim as a result of injury or loss caused by the criminal act.
Clark,idaho,id_18,idaho code § 18-902,$0 - $1000,assault  punishment,1979,,,,,
Clark,idaho,id_19,idaho code § 18-904,$0 - $1000,battery  punishment,1979,,$500 ,,,Assult is not allowed
Clark,idaho,id_20,idaho code § 18-914,$0 - $5000,felonious administering of drugs  punishment,1979,,"$5,000 ",,,Cannot illegally administer drugs
Guiselle,idaho,id_127,idaho code § 18-6715,$0 - $5000,forgery of telegraphic messages,1980,n/a,n/a,"$5,000 ",n/a,"punishable by imprisonment in the state prision for a term not to exceed five years, or by a fine not to exceed or both."
Guiselle,idaho,id_128,idaho code § 18-6716,$0 - $5000,opening telegrams,1980,n/a,n/a,n/a,n/a,"punishable as provided in section 18-6715, Idaho Code."
Clark,idaho,id_29,idaho code § 18-1502,$0 - $3000,"beer, wine or other alcohol age violations  fines",1981,,,,,
,,,,,,1981,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,1981,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,1981,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,1981,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,1981,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
Guiselle,idaho,id_119,idaho code § 18-6309,$0 - $5000,impersonation of revenue officer,1981,n/a,n/a,"$5,000 ",n/a,guilty of a felony and on conviction thereof shall be punished by imprisonment in the state prision for a period of not more than five years or by a fine or both.
Guiselle,idaho,id_120,idaho code § 18-6402,$0 - $25000,riot  felony  misdemeanor  punishment,1981,n/a,n/a,"$25,000 ",,
Sreelu,idaho,id_150,idaho code § 18-7804,$0 - $25000,racketeering act-prohibited activities-penalties,1981,n/a,n/a,"$25,000 ",,
Clark,,,,,,1982,,$300 ,,,Assult fine
Clark,idaho,id_27,idaho code § 18-1353a,$0 - $1000,"threats against state officials of the executive, legislative or judicial branch or elected officials of a county or city",1982,,"$1,000 ",,,Threats againts the state
Clark,,,,,,1982,,,,,
,,,,,,1983,,"$1,000 ",,,Resisting arrest or obtructing an officer
Clark,,,,,,1983,,,,Scaling penalty up to $100 for first offense 2nd offense is $200 $300 for subsequent offenses,unkown
Clark,idaho,id_34,idaho code § 18-1507,$0 - $50000,definitions  sexual exploitation of a child  penalties,1983,,,,,
