Names,state,statute_id,statute_name,estimated_amount,penalty type,year,penalty_amt_min,peanlty_amt_max,penalty_amt_fixed,other_penalty,notes
Guiselle,,,,,,1994,n/a,n/a,"$50,000 ",n/a,"Used to be $1,000 fine and besides the fine they are able to be punished by imprisonment in the state prision not exceeding 10 years or by both or in the disrection in the court."
Guiselle,idaho,id_112,idaho code § 18-6007,$0 - $50000,theft of car parts-murder by wrecking,1994,n/a,n/a,"$50,000 ",n/a,Specifes theft and not larceny as before. The person committing it is punishable of a felony and upon conviction thereof shall be subject to punishment by imprisonment in the penitentiary not less than 1 nor more than 14 years (used to be 5)
Guiselle,idaho,id_113,idaho code § 18-6008,$0 - $50000,receiving stolen car parts,1994,n/a,n/a,n/a,n/a,No amount was stated but the person convicted is guilty of a felony and upon thereof shall be subject to the punishment provided in section 18-6007 Idaho Code.
Guiselle,idaho,id_114,idaho code § 18-6012,$0 - $1000,offences against railroads,1994,n/a,n/a,"$1,000 ",n/a,Fine used to be $100 and they could be imprisoned in the county jail not exceeding six months or by both.
,,,,,,1994,n/a,n/a,$300 ,,"also punishable by 6 months in county jail or both imprisonment and fine, or 40 hours"
Sreelu,idaho,id_141,idaho code § 18-7039(6),cost of restitution,"killing and otherwise mistreating police dogs, police horses, search and rescue dogs and accelerant detection dogs",1994,n/a,n/a,n/a,,
Sreelu,idaho,id_142,idaho code § 18-7039,$0 - $10000,"killing and otherwise mistreating police dogs, police horses, search and rescue dogs and accelerant detection dogs",1994,"$1,000 ","$10,000 ",n/a,,"shall be punished by imprisonment in the state penitentiary for a period not to exceed five (5) years, or by both such fine and imprisonment; shall be punished by imprisonment for not more than one (1) year or by both such fine and imprisonment."
,,,,,,1994,$500 ,"$5,000 ",n/a,,
Sreelu,idaho,id_158,idaho code § 18-8004a(1),$0 - $1000,penalties  persons under 21 with less than 0.08 alcohol concentration,1994,n/a,n/a,"$1,000 ",,
Sreelu,idaho,id_159,idaho code § 18-8004a(2),$500 - $2000,penalties  persons under 21 with less than 0.08 alcohol concentration,1994,$500 ,"$2,000 ",n/a,,
Sreelu,idaho,id_160,idaho code § 18-8004a(3),$1000 - $2000,penalties  persons under 21 with less than 0.08 alcohol concentration,1994,"$1,000 ","$2,000 ",n/a,,
Sreelu,idaho,id_161,idaho code § 18-8004c(1),$0 - $2000,excessive alcohol concentration  penalties,1994,n/a,n/a,"$2,000 ",,one (1) year period absolutely no driving privileges of any kind may be granted
Sreelu,idaho,id_162,idaho code § 18-8004c(2),$0 - $5000,excessive alcohol concentration  penalties,1994,n/a,n/a,"$5,000 ",,
Cassandra,idaho,id_187,idaho code § 31-3201c,$0.60 - $0 0.6 dollars and hour,community service fee,1994,n/a,n/a,$1 ,,
Clark,,,,,,1995,,,,"Penalty scales per offense first offense is 1k second is 2k and third beyond is 5k,alternative is counciling of which the defendent will pay a resitution of all funds if goverment funds are used",Funding for people who see if counciling is needed from 31-3201Aq
Clark,,,,,,1995,,"$1,000 ",,,"Fine increased, insurance companies cannot use this information to adjust rates"
,,,,,,1995,n/a,n/a,"$1,000 ",Fine and/or imprisonment,"might have jail term of not more than one (1) year, or if a minor, not in excess of one hundred twenty (120) days in a juvenile detention facility"
Clark,,,,,,1996,,$500 ,,,Fined doubled if person was pregnant
Clark,,,,,,1996,,,,"Penalty scales per offense first offense is 1k second is 2k and third beyond is 5k,alternative is counciling of which the defendent will pay a resitution of all funds if goverment funds are used",Only for Adult members of the household
Clark,idaho,id_22,idaho code § 18-919,$0 - $1000,sexual exploitation by a medical care provider,1996,,"$1,000 ",,,Sexual explotation by a medical worker
Clark,,,,,,1996,,"$1,000 ",,,Grammer
Clark,,,,,,1996,,"$1,000 ",,,Being under the influence of marijiuana counts as possession
Cassandra,idaho,id_171,idaho code § 18-8010,$15 ,motor vehicles-surcharge added to all fines,1996,n/a,n/a,$15 ,,"originally used to purchase interlock devices, amended to be used toward other probation programs in the county"
Cassandra,idaho,id_194,idaho code § 49-657,$50 ,work zone speed limits-penalty,1996,n/a,n/a,$50 ,,
Clark,idaho,id_23,idaho code § 18-920,$0 - $5000,violation of no contact order,1997,,"$1,000 ",,,Violation of no contact order
Nuhamin,idaho,id_75,idaho code § 18-3319,$0 - $5000,unlawful possession of bombs or destructive devices,1997,n/a,n/a,"$5,000 ",five (5) years in prison,
Nuhamin,idaho,id_77,idaho code § 18-3320,$0 - $25000,unlawful use of destructive device or bomb,1997,n/a,n/a,"$25,000 ",life in prison,
,,,,,,1997,"$10,000 ","$15,000 ",n/a,,"voluntary = 15,000; involuntary = 10,000"
Guiselle,idaho,id_108,idaho code § 18-5811,$50 - $1500,action required to avoid accident or injury to disabled person  prohibited intentional actions  penalties,1997,$50 ,"$1,500 ",n/a,n/a,"Intentionally fails to stop, change course, or speak or take such other action is necessary to avoid any injury or acciddent to the disabled person, the assistance device or dog, is guilty of a misdemeanor, punishable by imprisonment in the county jail not exceeding 6 months or by a fine not less than no more than or both."
Guiselle,idaho,id_109,idaho code § 18-5812,$0 - $5000 plus costs,battery to disabled persons and assistance dogs-penalties,1997,n/a,n/a,"$5,000 ",n/a,"Intentionally causes injury, or death of any assistance dog or dog in-training is guilty of a misdemeanor is punishable by imprisonment in county jail not exceeding one year, or by a fine not exceeding or both."
Guiselle,idaho,id_126,idaho code § 18-6713,$0 - $1000,theft of telecommunication services,1997,$300 ,"$1,000 ",,,"The first conviction is $300 and they should be imprisoned in the county jail for a term not to exceed 6 months and the second conviction or subsequent violation shall be punished by a fine not to exceed $1,000 or by imprisonment not to exceed 1 year"
,,,,,,1997,n/a,n/a,"$1,000 ",,
,,,,,,1997,$500 ,"$2,000 ",n/a,,
,,,,,,1997,"$1,000 ","$2,000 ",n/a,,
Clark,,,,,,1998,,,,"Penalty scales per offense first offense is 1k second is 2k and third beyond is 5k, fine is doubled if in presence of a child. Alternative is counciling of which the defendent will pay a resitution of all funds if goverment funds are used",Removed the only adult members
Clark,,,,,,1998,,,,"All fines listed are their maximum. If it results is a great bodily injury it is considered a felony the fine is 10k. If not it is a misdemenor, penalty scales per offense first offense is 1k second is 2k and third beyond is 5k, fine is doubled if in presence of a child. Alternative is counciling of which the defendent will pay a resitution of all funds if goverment funds are used",Defines child as someone under 16
Clark,,,,,,1998,,"$1,000 ",,,Specifies laws under which no contact applies
Clark,,,,,,1998,,,,"Scaling penalty up to $1000 for first offense 2nd offense is up to $2000, up to $3000 for subsequent offenses",Clarifies how conviction cannot be used for insurance rates
,,,,,,1998,n/a,n/a,"$1,000 ",,"if damages caused exceed $1000, shall be punishable by imprisonment in the state prison for not less than one (1) year nor more than five (5) years"
,,,,,,1998,$500 ,"$3,000 ",n/a,,
,,,,,,1998,$500 ,"$3,000 ",n/a,,
Cassandra,idaho,id_175,idaho code § 18-8311,$0 - $5000,sexual offender registration notification and community right-to-know act-penalties,1998,$0 ,"$5,000 ",n/a,imprisonment 5 yrs max,fail to register as sex offender
Cassandra,idaho,id_176,idaho code § 18-8318,Cost of service,offender to pay for psychosexual evaluation,1998,,,n/a,,cost of service range?
Cassandra,idaho,id_177,idaho code § 18-8326,$0 - $1000,sexual offender registration notification and community right-to-know act-penalties for vigilantism or other misuse of information obtained under this chapter,1998,$0 ,"$1,000 ",n/a,jail 1 yr max,
Cassandra,idaho,id_178,idaho code § 18-8409,$0 - $1000,"juvenile sex offender registration notification and community right-to-know act-failure to register, penalties",1998,$0 ,"$1,000 ",n/a,,failure to register or update name/address
Cassandra,idaho,id_179,idaho code § 18-8413,$0 - $1000,juvenile sex offender registration notification and community right-to-know act-penalties for vigilantism or other misuse of information obtained under this chapter,1998,$0 ,"$1,000 ",n/a,jail 1 yr max,
Cassandra,idaho,id_188,idaho code § 31-3201d,$75 - $0,county misdemeanor probation supervision fee,1998,n/a,n/a,$35 ,,monthly fee during probation
Clark,,,,,,1999,,"$1,000 ",,,Updated chapters of law
Julia,idaho,id_48,idaho code § 18-1522,$0 - $1013,"unauthorized school bus entry, notice",1999,n/a,n/a,n/a,misdemeanor,no penalty laid out
,,,,,,1999,n/a,n/a,"$1,000 ",,
,,,,,,1999,$500 ,"$2,000 ",n/a,,
,,,,,,1999,"$1,000 ","$2,000 ",n/a,,
,,,,,,2000,,$500 ,,,Applied to women
Clark,,,,,,2000,,,,"All fines listed are their maximum. If it results is a great bodily injury it is considered a felony the fine is 10k. If not it is a misdemenor, penalty scales per offense first offense is 1k second is 2k and third beyond is 5k, fine is doubled if in presence of a child. Alternative is counciling of which the defendent will pay a resitution of all funds if goverment funds are used",Defines battery
Clark,,,,,,2000,,"$1,000 ",,,Further specifies laws under which no contact applies
Clark,,,,,,2000,,"$1,000 ",,,If convicted of something which would require no conctact law still applies
Clark,,,,,,2000,,"$1,000 ",,,Applies to city councilmen
,,,,,,2000,n/a,n/a,"$5,000 ",fine and/or imprisonment,
,,,,,,2000,"$1,000 ","$10,000 ",n/a,"misdemeanor, fine","punished by a fine of not less than one thousand dollars ($ 1,000) nor more than ten thousand dollars ($ 10,000)."
,,,,,,2000,n/a,n/a,"$1,000 ",Fine and/or imprisonment,"might have jail term of not more than one (1) year, or if a minor, not in excess of one hundred twenty (120) days in a juvenile detention facility"
,,,,,,2000,n/a,n/a,"$1,000 ",,
,,,,,,2000,$500 ,"$2,000 ",n/a,,
,,,,,,2000,"$1,000 ","$2,000 ",n/a,,
,,,,,,2000,n/a,n/a,"$2,000 ",,
,,,,,,2000,n/a,n/a,"$5,000 ",,
,,,,,,2001,,"$5,000 ",,,Specifying what it means to not be liscensed
Clark,idaho,id_08,idaho code § 18-605(2),"$1000 - $0 minimum of 2,500 for second offense and 5,000 for subsequentoffenses",unlawful abortions - procurement of - penalty,2001,,"$1,000 ",,,Applies to people who are certified with health care
,,,,,,2001,n/a,n/a,"$5,000 ",five (5) years in prison,
Cassandra,idaho,id_189,idaho code § 31-3201e,$0 - $300,drug court and mental health court fee-drug court and mental health court fund,2001,$0 ,$300 ,n/a,,funds only allocated to drug court expenses
Clark,,,,,,2002,,"$1,000 ",,,People under 18 are now under this law
,,,,,,2002,n/a,n/a,"$5,000 ",imprisonment in the state prison for a period of time not to exceed five (5) years,
,,,,,,2002,"$10,000 ","$15,000 ",n/a,,"voluntary = 15,000; involuntary = 10,000"
Guiselle,idaho,id_123,idaho code § 18-6702,$0 - $5000,"interception and disclosure of wire, electronic or oral communications prohibited",2002,n/a,n/a,"$5,000 ",n/a,shall be guilty of a felony and is punishable by imprisonment in the state prision for a term not to exceed five years or by a fine not to exceed or by both.
Guiselle,idaho,id_124,idaho code § 18-6703,"$5,000 ","manufacture, distribution, possession, and advertising of wire, electronic or oral communication intercepting devices prohibited.",2002,n/a,n/a,"$5,000 ",n/a,shall be guilty of a felony and is punishable by imprisonment in the state penitentiary for a term of five years or by a fine or by both.
Sreelu,idaho,id_131,idaho code § 18-6810,$0 - $1000,intentional destruction of a telecommunication line or telecommunication instrument,2002,n/a,n/a,"$1,000 ",,county jail imprisonment upto 1 year
Sreelu,idaho,id_143,idaho code § 18-7040(4),cost of restitution,interference with agricultural research,2002,n/a,n/a,n/a,,
Sreelu,idaho,id_144,idaho code § 18-7040(2),$0 - $10000,interference with agricultural research,2002,n/a,n/a,"$10,000 ",,"shall be punished by a term of imprisonment of not more than twenty (20) years, or by both fine and imprisonment"
,,,,,,2002,n/a,n/a,"$5,000 ",,"punishable by imprisonment in the state prison not exceeding five (5) years, or by both fine and imprisonment"
,,,,,,2002,n/a,n/a,"$1,000 ",,
,,,,,,2002,$500 ,"$2,000 ",n/a,,
,,,,,,2002,"$1,000 ","$2,000 ",n/a,,
Cassandra,idaho,id_172,idaho code § 18-8103,$0 - $50000,terrorist control act-prohibited activities-penalties,2002,$0 ,"$50,000 ",n/a,imprisonment 10 yrs to life,March 2002; shortly after 9/11
Cassandra,idaho,id_173,idaho code § 18-8106,$0 - $50000,providing material support to terrorists,2002,$0 ,"$50,000 ",n/a,imprisonment 15 yrs max,March 2002; shortly after 9/11
Cassandra,idaho,id_190,idaho code § 31-3201f,$150 ,abandoned vehicle fee,2002,n/a,n/a,$150 ,,funds moved to abandoned vehicle trust account
Clark,,,,,,2003,,,,"All fines listed are their maximum. If it results is a great bodily injury it is considered a felony the fine is 10k. If not it is a misdemenor, penalty scales per offense first offense is 1k second is 2k and third beyond is 5k, fine is doubled if in presence of a child. Alternative is counciling of which the defendent will pay a resitution of all funds if goverment funds are used",Capitalizes Q from 31-3201AQ
Clark,,,,,,2003,,"$1,000 ",,,Redefined the chapters
,,,idaho code §18-1509A,,"enticing a child through use of the internet or other communication device, penalties, jurisdiction",2003,n/a,n/a,n/a,"felony, imprisonment",punished by imprisonment in the state prison for a period not to exceed fifteen (15) years
Guiselle,idaho,id_121,idaho code § 18-6601,$100 - $1000,adultery,2003,n/a,n/a,n/a,n/a,
,,,,,,2003,n/a,n/a,"$1,000 ",,county jail imprisonment upto 1 year
,,,,,,2003,$500 ,"$3,000 ",n/a,,
,,,,,,2003,n/a,n/a,$10 ,,
Clark,,,,,,2004,,,,"All fines listed are their maximum. If it results is a great bodily injury it is considered a felony the fine is 10k. If not it is a misdemenor, penalty scales per offense first offense is 1k second is 2k and third beyond is 5k, fine is doubled if in presence of a child. Alternative is counciling of which the defendent will pay a resitution of all funds if goverment funds are used",Reorganizes statuet
Clark,,,,,,2004,,"$1,000 ",,,Even further specifies laws under which no contact applies
Clark,,,,,,2004,,$300 ,,,Redefined the chapters
Julia,idaho,id_49,idaho code § 18-1523,$0 - $1014,"minors, tattooing, branding, tanning devices and body piercings",2004,$500 ,"$1,000 ",,misdemeanor,fine
,,,,,,2004,n/a,n/a,"$5,000 ",n/a,
Sreelu,idaho,id_152,idaho code § 18-7905,$0 - $10000,stalking in the first degree,2004,n/a,n/a,"$10,000 ",," imprisonment in the state prison for not less than one (1) year nor more than five (5) years, or by both such fine and imprisonment."
Sreelu,idaho,id_153,idaho code § 18-7906,$0 - $1000,stalking in the second degree,2004,n/a,n/a,"$1,000 ",,"punishable by imprisonment in the county jail for not more than one (1) year or by a fine, or by both"
,,,,,,2005,,"$1,000 ",,,Fine increased
,,,,,,2005,,"$1,000 ",,,Fine increased
Clark,,,,,,2005,,"$1,000 ",,,Over trippled the fine
Clark,,,,,,2005,,"$1,000 ",,,Fine now same across the board
Clark,,,,,,2005,,,,"All fines listed are their maximum. If it results is a great bodily injury it is considered a felony the fine is 10k. If not it is a misdemenor, penalty scales per offense first offense is 1k second is 2k and third beyond is 5k, fine is doubled if in presence of a child. Alternative is counciling of which the defendent will pay a resitution of all funds if goverment funds are used",Removes willfuly from requirement of felony domestic battery
Clark,,,,,,2005,,,,$25000 for felony $1000 for misdamenor,Felony when great bodily harm occurs or if explotation exceeds 1000 in monitary gain
Clark,,,,,,2005,,"$5,000 ",,,
Nuhamin,idaho,id_73,idaho code § 18-3312,$0 - $1000,injuring another by careless handling and discharge of firearms,2005,n/a,n/a,"$1,000 ",,"could be punished by imprisonment in the county jail for not more than six (6) months, or by both such fine and imprisonment."
,,,,,,2005,$100 ,"$1,000 ",n/a,,could be punished by imprisonment in the county jail not less than thirty (30) days nor more than six (6) months.
,,,,,,2005,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail for a period not exceeding 6 months
,,,,,,2005,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail for a period not exceeding 6 months
,,,,,,2005,n/a,n/a,"$1,000 ",,
,,,,,,2005,n/a,n/a,"$1,000 ",,The convition amount is now the same for first and second
Sreelu,idaho,id_132,idaho code § 18-6903,$0 - $5000,prohibition against piracy,2005,n/a,n/a,"$5,000 ",,"upon conviction shall be imprisoned for not more than one (1) year, or shall be punished by both such fine and imprisonment."
,,,,,,2005,n/a,n/a,"$1,000 ",,"imprisonment in the county jail for up to one (1) year or a fine, or both(...) if damages caused exceed $1000, shall be punishable by imprisonment in the state prison for not less than one (1) year nor more than five (5) years"
,,,,,,2005,$100 ,"$3,000 ",n/a,,
,,,,,,2005,n/a,n/a,"$1,000 ",,
,,,,,,2005,$500 ,"$2,000 ",n/a,,
,,,,,,2005,"$1,000 ","$2,000 ",n/a,,
Cassandra,,,,,,2005,$7 ,$39 ,n/a,,
Cassandra,,,,,,2005,$7 ,$44 ,n/a,,changed one month after last change
,,,,,,2005,$0 ,$500 ,n/a,jail 1 yr max,
Clark,,,,,,2006,,"$50,000 ",,,Grammer fixes and fine doubled
Nuhamin,idaho,id_71,idaho code § 18-3305,$0 - $1000,discharge of arms aimed at another,2006,n/a,n/a,"$1,000 ",or imprisonment in the county jail not to exceed six (6) months,
Nuhamin,idaho,id_72,idaho code § 18-3306,$50 - $1000,injuring another by discharge of aimed firearms,2006,$50 ,"$1,000 ",n/a,,"could be punished by  imprisonment in the county jail for a period of not more than one (1) year; and if death ensue from such wounding or maiming, such person so offending shall be deemed guilty of the crime of manslaughter."
,,,,,,2006,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail for a period of not more than six (6) months
,,,,,,2006,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail for not more than six (6) months
,,,,,,2006,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail not exceeding six (6) months
,,,,,,2006,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail for a period not exceeding 6 months
,,,,,,2006,n/a,n/a,n/a,n/a,
Guiselle,idaho,id_129,idaho code § 18-6801,$0 - $1000,removal or obstruction of telephone or telegraph lines or equipment,2006,n/a,n/a,"$1,000 ",n/a,"guilty of a misdemeanor and upon conviction thereof shall be punished by a fine not exceeding (used to be $300 now $1,000) or by imprisonment in the county jail for not more than 6 months or both."
,,,,,,2006,n/a,n/a,"$1,000 ",,"6 month imprisonment in county jail or fine; 3 years of state imprisonment or 6 months in county jail where where the crime was punishable by imprisonment in the state prison for any other term than for life; By imprisonment in the state prison not exceeding five years or in a county jail not exceeding one year, where the crime was punishable by death or imprisonment in the state prison for life."
,,,,,,2006,n/a,n/a,"$1,000 ",,"By imprisonment in the state prison not exceeding five years, or in a county jail not exceeding one year where the crime was punishable by death or imprisonment in the state prison for life; By imprisonment in the state prison not exceeding three years, or in the county jail not exceeding six months where the crime was punishable by imprisonment in the state prison for any other term than for life; By imprisonment in the county jail not exceeding six months or by fine. "
,,,,,,2006,n/a,n/a,$250 ,,suspension of driving privileges immediately for one hundred eighty (180) days for a first refusal and one (1) year for a second refusal within five (5) years
,,,,,,2006,n/a,n/a,n/a,,
Cassandra,idaho,id_180,idaho code § 18-8505,$0 - $50000,supplying firearms to a criminal gang,2006,$0 ,"$50,000 ",n/a,imprisonment 10 yrs max,
Cassandra,,,,,,2006,$9 ,$50 ,n/a,,
,,,,,,2006,$0 ,"$2,000 ",n/a,jail 1 yr max,
,,,,,,2007,,"$5,000 ",,,Adds a knowingly requirement
,,,,,,2007,,"$1,000 ",,,Knowignly requirement 
,,,,,,2007,n/a,n/a,"$1,000 ",or imprisonment in the county jail not to exceed six (6) months,
,,,,,,2007,"$1,000 ","$3,000 ",n/a,,
Cassandra,idaho,id_181,idaho code § 18-8604,restitution,human trafficking-restitution-rehabilitation,2007,,,n/a,,gross income/value of labor or labor according to min wage/overtime standards
Clark,idaho,id_10,idaho code § 18-615,$0 - $5000,criminal act to coerce or attempt to coerce a woman to obtain an abortion,2008,,"$5,000 ",,,Trying to encourage a women to get abortion
Clark,,,,,,2008,,"$5,000 ",,,quintupiles fine
Clark,,,,,,2008,,,,$25000 for felony $1000 for misdamenor,clarifies definition of abuse
Guiselle,idaho,id_106,idaho code § 18-5702,$0 - $10000,grading and punishment for misuse of funds,2008,"$1,000 ","$10,000 ",n/a,"$5,000 ","Applys to any employee who is not charged with the recepit, safekeeping or distribiument of public moneys and who misuse public moneys in violation of section 18-5701, Idaho code, is guilty of a misdemeanor punishable by a fine not exceeding, or by imprisonment in the county jail not exceeding one year, or by both. If the amount of public moneys misused is less than $300. * Any public officer or public employee charged with a receipt, safekeeping, or disbursement of publics money who misuses publics money under the section, Idaho code is guily of a felony punishable by a fine not exceeding or by imprisonment in state prision for not more than 5 years or by both, if the amount of moneys misused is less than $300."
Guiselle,,,,,,2008,"$1,000 ","$10,000 ",n/a,n/a,"Includes any public employee, public officer.  Excpet as otherwise provided in subdivison 1 and 2 of this section, is guilty of  a felony punishable by a fine not exceeding $10,000 or by imprisonment in the state prision for not less than 1 year nor more than 14 years of both."
,,,,,,2008,n/a,n/a,$75 ,,monthly fee during probation
Cassandra,idaho,id_195,idaho code § 49-658,$75 - $0,school zone speed limit-penalty,2008,n/a,n/a,$75 ,,
Clark,,,,,,2009,,,,"All fines listed are their maximum. If it results is a great bodily injury it is considered a felony the fine is 10k. If not it is a misdemenor, penalty scales per offense first offense is 1k second is 2k and third beyond is 5k, fine is doubled if in presence of a child. Alternative is counciling of which the defendent will pay a resitution of all funds if goverment funds are used",Changes q from funding to 16 resulting in 31-3201A16
Clark,,,,,,2009,,,,$25000 for felony $1000 for misdamenor,further defines what vuneraboe adult means
,,,,,,2009,"$10,000 ","$15,000 ",n/a,,"voluntary = 15,000; involuntary = 10,000"
,,,,,,2009,n/a,n/a,$250 ,,
,,,,,,2009,n/a,n/a,$250 ,,
,,,,,,2009,n/a,n/a,"$1,000 ",,"Shall have his driving privileges suspended by the court for a period of one (1) year, ninety (90) days of which shall not be reduced and during which period absolutely no driving privileges of any kind may be granted."
,,,,,,2009,$500 ,"$2,000 ",n/a,,Shall be sentenced to jail for a mandatory minimum period of five (5) days
,,,,,,2009,"$1,000 ","$2,000 ",n/a,,Shall be sentenced to jail for a mandatory minimum period of ten (10) days
,,,,,,2009,n/a,n/a,"$2,000 ",,
,,,,,,2009,n/a,n/a,"$5,000 ",,
Cassandra,idaho,id_197,idaho code § 49-1421a,$100 ,high occupancy vehicle lanes  penalties  definitions,2009,n/a,n/a,$100 ,,
Clark,,,,,,2010,,"$1,000 ",,,Further redefiened chapters
Nuhamin,idaho,id_76,idaho code § 18-3319a,$0 - $15000,unlawful acts  hoax destructive device,2010,n/a,n/a,"$15,000 ",imprisonment in the state prison not to exceed fifteen (15) years,
Cassandra,idaho,id_191,idaho code § 31-3201h,$10 - $100,surcharge fee,2010,$10 ,$100 ,n/a,,fee applies per infraction/misdemeanor/felony; 80% to drug/mental health court and 20% to legislative tech fund
,,,,,,2011,"$1,000 ","$3,000 ",n/a,,
,,,,,,2011,n/a,n/a,$250 ,,
,,,,,,2011,n/a,n/a,$250 ,,
,,,,,,2011,n/a,n/a,"$2,000 ",,
,,,,,,2011,n/a,n/a,"$5,000 ",,
Clark,,,,,,2012,,"$50,000 ",,$10000 for only possesion,
,,,,,,2012,n/a,n/a,n/a,"felony, imprisonment",punished by imprisonment in the state prison for a period not to exceed fifteen (15) years
,,,,,,2012,n/a,n/a,"$1,000 ",,
Cassandra,idaho,id_192,idaho code § 31-3204,$15 ,victim notification-fee,2012,n/a,n/a,$10 ,,
,,,,,,2014,n/a,n/a,$250 ,,
,,,,,,2014,n/a,n/a,"$2,000 ",,
,,,,,,2014,n/a,n/a,"$5,000 ",,
Cassandra,,,,,,2014,$9 ,$175 ,n/a,,all fees significantly increased
,,,,,,2014,n/a,n/a,$15 ,,
Cassandra,idaho,id_198,idaho code § 49-1422,$100 - $500,overtaking and passing school bus,2014,$100 ,$500 ,n/a,,
,,,,,,2015,$500 ,"$1,000 ",,misdemeanor,fine
,,,,,,2015,n/a,n/a,"$5,000 ",imprisonment in the state prison for a period of time not to exceed five (5) years,
,,,,,,2015,$150 ,"$2,500 ",n/a,could be punished by imprisonment in the county jail not exceeding six (6) months,"first conviction: $150, 2nd conviction: $300, 3rd conviction: $1001"
,,,,,,2015,$150 ,"$2,500 ",n/a,could be punished by imprisonment in the county jail not exceeding six (6) months,"first conviction: $150, 2nd conviction: $300, 3rd conviction: $1002"
,,,,,,2015,$150 ,"$1,000 ",n/a,,imprisonment in the county jail not exceeding thirty (30) days; and public service of not less than eight (8) hours and not more than forty (40) hours may be imposed 
Clark,,,,,,2016,,,,"Scaling penalty up to $1000 for first offense 2nd offense is up to $2000, up to $3000 for subsequent offenses","Record will be sealed if you have no drug related crimes within 5 years of conviction, though the defendent must innitiate it"
Clark,,,,,,2016,,,,"Scaling penalty of $300 for first offense 2nd offense is up to $2000, up to $3000 for subsequent offenses",Initial penalty lowered to 300 but is fixed
Clark,,,,,,2016,,,,$25000 for felony $1000 for misdamenor,No change(?)
Clark,,,,,,2016,,"$50,000 ",,$10000 for only possesion,Only a misdemenor if person is less than three years younger
Sreelu,idaho,id_145,idaho code § 18-7043,$0 - $10000,intentional breach of biosecurity,2016,n/a,n/a,"$10,000 ",,"shall be punished by a term of imprisonment of not more than twenty (20) years or by a fine not in excess of ten thousand dollars ($ 10,000), or by both such fine and imprisonment"
Sreelu,idaho,id_154,idaho code § 18-7907,$0 - $5000,action for protection,2016,n/a,n/a,"$5,000 ",,punishable by not to exceed one (1) year in jail
Clark,,,,,,2017,,,,Repealed,Repealed
Clark,,,,,,2018,,,,"All fines listed are their maximum. If it results is a great bodily injury it is considered a felony the fine is 10k. If not it is a misdemenor, penalty scales per offense first offense is 1k second is 2k and third beyond is 5k, fine is doubled if in presence of a child. Alternative is counciling of which the defendent will pay a resitution of all funds if goverment funds are used","Supreme court now deems who can council, and the victim now helps in deciding counciling "
,,,,,,2018,n/a,n/a,"$1,000 ",Fine and/or imprisonment,might have a jail term of not more than one (1) year
,,,,,,2018,$150 ,"$1,000 ",n/a,,
,,,,,,2018,n/a,n/a,$250 ,,
Guiselle,,,,,,2019,$50 ,"$1,500 ",n/a,n/a,"appearing to be an individual with a disability. * For the 1,500 it's for any person who, without justification intentionally interfers with the use of a service dog, or an assistance device by obstructing, battering, or intimidating the user of a device dog is guilty of a misdemeanor in the county jail not exceeding 6 months or by a fine not less than nor more than or both."
Guiselle,,,,,,2019,n/a,n/a,"$5,000 ",n/a,permits any animal that is harbored
,,,,,,2019,n/a,n/a,"$5,000 ",,
,,,,,,2019,$200 ,$600 ,n/a,,
,,,,,,2020,n/a,n/a,"$1,000 ",,could be punished by imprisonment in the county jail for a period not exceeding 6 months
,,,,,,2021,n/a,n/a,$250 ,,suspend all the defendant’s driving privileges immediately for one (1) year for a first refusal and two (2) years for a second refusal within ten (10) years 
,,,,,,2022,n/a,n/a,n/a,n/a,"The statue changed from ""18-6602 to 16601"" and it states that any person willfully marriages or enganges in sexual intercourse known to be under section 32-205, Idaho Code is guilty of a felony. Punishable up to 15 years, however if the victim is under 18 at the time of the violation, such violation is punishable by imprisonment in the state prision for a term not to exceed life."
Guiselle,idaho,id_122,idaho code § 18-6603,$0 - $300,fornication,2022,n/a,n/a,n/a,n/a,guilty of a felony if that person engages in sexual contact with human remains. Any person who violates the section may be punished by imprisonment in state prision for a term not to exceed five years.
,,,,,,2022,n/a,n/a,"$10,000 ",,
Nuhamin,idaho,id_102,idaho code § 18-5606,$1000 - $50000,accepting earnings of prostitute,2023,n/a,n/a,"$50,000 ",n/a,could be punished by imprisonment for a period of not more than twenty (20) years
Clark,,,,,,2024,,,,"All fines listed are their maximum. If it results is a great bodily injury it is considered a felony the fine is 10k. If not it is a misdemenor, penalty scales per offense first offense is 1k second is 2k and third beyond is 5k, fine is doubled if in presence of a child. Alternative is counciling of which the defendent will pay a resitution of all funds if goverment funds are used",Strangulation explicitly stated in the law
Clark,,,,,,2024,,"$50,000 ",,$10000 for only possesion,"The person must be identifiable as a child, describes the definition of it"
,,,,,,2024,n/a,n/a,"$5,000 ",fine and/or imprisonment,
,,,,,,2024,n/a,n/a,"$5,000 ",fine and/or imprisonment,
,,,,,,2024,n/a,n/a,"$5,000 ","misdemeanor, fine and/or imprisonment",
,,,,,,2024,n/a,n/a,,n/a,included new provisions including invalid and revoked licenses
